Ticker,6M Return (%)
KOTAKBANK.NS,12.572184373888717
HDFCBANK.NS,7.11508125002569
BHARTIARTL.NS,-0.06853134084939816
BAJAJFINSV.NS,-1.5265540451210646
ULTRACEMCO.NS,-2.228606552398038
SBIN.NS,-6.533739030090624
WIPRO.NS,-9.197611149811413
AXISBANK.NS,-10.964410216747167
MARUTI.NS,-11.70978063217014
LT.NS,-12.85022182063047
